,Emotion,Text
1935,joy,I've been chosen to plan the next family reunion . 
1936,fear,A friend and I were going to have a study session together in which we quiz ourselves in biology material. Because I believed I didn't study enough. I feared I would fail.
1937,joy,"Audiences were thrilled , box office cash registers jingled and careers were made . "
1938,sadness,But Miss Van Cheele was terribly sad about Gabriel-Ernest . 
1939,neutral," oh , really . That is great news . What does he look like ? "
1940,fear,My father had been drinking and I feared him when we went to bed at night.
1941,neutral," Eh , so so . "
1942,joy,After having considered it for hours I was able to overcome my scruples and to call a friend with whom I had fallen in love. I realized that my decision was right - and was very glad.
1943,joy,"This happened when I went to check my first year results, I had  thought that I would fail and I found that I had a clear pass in all my courses."
1944,neutral,how do you usually get to school ? 
1945,joy, Look after yourself . Bye . 
1946,joy,When I won my car. 
1947,neutral," Yes , Jane invited me for dinner to this new restaurant which opened near us . "
1948,sadness,Julie is devastated to discover she is adopted and she sets out to find her natural parents . 
1949,sadness, That's too bad.They ' re such good company . 
1950,sadness,My best friend had failed Exams. She had to leave and so we got separated.
1951,anger,One minister was miffed yesterday when he found his seat occupied by a journalist talking to a fellow cabinet member before the meeting began .
1952,neutral, Coco Lee . 
1953,sadness,When my flute-teacher was replaced by a new one.
1954,joy," Sounds good , when ? "
1955,joy,I was admited to the Chinese university of Hong Kong.  The day the results were announced I looked in the newspaper and saw my candidature number.
1956,joy," Good , happy birthday to you ! "
1957,joy," Sure , I will . Thank you for inviting me . "
1958,neutral, I liked it . 
1959,sadness,When my brother (5th in the family) passed away.
1960,joy,He broke off as Jim Miller let go a Indian whoop of relief and delighted grins spread across the faces of everyone in the group . 
1961,sadness,My girlfriend let me down badly 3 times in one week. These instances summed up all the negative aspects of our relationship which at the time seemed doomed to fail.
1962,fear, OK ! I'll call security . 
1963,neutral, I ’ m sorry . I didn ’ t know that . 
1964,fear,"When I was a child, I heard the floor cracking and I thought there was a burglar in our house; I hid under the blanket and trembled."
1965,anger, That ’ s exactly what they did . 
1966,neutral," Don't mixing #cosmetic brands. If it works for you, #goforit @MACMakeupLA @makeupjojo @MakeupByEric @cosmetichappy XO :)"
1967,anger," Yes , I joined your group of bus tour this morning . You promised the journey will last 3 hours and we will visit 15 sightseeing spots . "
1968,anger, Mom ! I'll wear a helmet and I'll drive sane . I promise . 
1969,sadness,"When an uncle of mine, who was close to me, passed away after having had a stroke, before his first daughter could be named."
1970,neutral," Oh , yes ? "
1971,fear,"Les mecs à la sortie du metro 4 à gdn, et qui attendent que tu passes pour degainer leur toupie lumineuse  "
1972,anger," He treats everyone pretty poorly , but the way he treats me really takes the cake ! "
1973,joy,Going to a friend's wedding and seeing many of my old friends whom I had known before I moved to a new district five years previously.
1974,anger,The men got resentful of the women working all hours in the co-op . 
1975,neutral,What's wrong with him ? 
1976,sadness, I can ’ t believe it ! I guess I ’ ll be here until ten again tonight ! 
1977,neutral, Forgive me darling . I'm very tired . 
1978,joy,"Welcome to my birthday party , I am so happy you can come . "
1979,sadness," Only sometimes when I think about it , I feel very sad . "
1980,joy,"To tell you the truth , I wasn't at all pleased about Russell sitting in the same coach with us . "
1981,joy,I started a new branch of studies after having failed a former one.  When I got back my exam papers I was very happy to know that I almost had full marks.
1982,sadness, I'm afraid there isn't . 
1983,sadness,It soon developed into disillusion as the town 's death toll grew and ended in jubilant relief not unmixed with sorrow at the memory of towns-folk who would not return . 
1984,anger,"At the hairdresser's, I got two stains of dyestuff on my new trousers. These stains are not removable, so I cannot put on the trousers again."
1985,neutral," I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff . "
1986,anger," I'm serious , Zina . Back off . I have a bottle of pepper spray in my pocket . "
1987,anger, I won't be paying you for this . 
1988,sadness,A) A documentary in which baby fur seals were being clubbed / spiked to death by Canadian sealhunters. Brutally graphic. B) Description of a disfigured orphaned child in Hiroshima calling for her mother.
1989,neutral, A stop ! Wait for the lights to turn green . 
1990,anger, what a bummer ! You set me up ? 
1991,joy, But you agreed to go out with me at last . 
1992,neutral, No . 
1993,joy, The black ball has to be the final ball in the pockets . 
1994,neutral, I never know when to shake hands and when not to . Can you tell me something about it ? 
1995,fear,The of your toes about to get chopped off when you see the cutting knife slip off the bench.
1996,joy,My friend told me he really likes me.
1997,anger,"My mother had for some time been trying to separate me from a good friend who, she thought, was not good company for me.  Finally, at breakfast one day, we had an argument and I tried to defend my friend."
1998,sadness,When I found that my ability to do ordinary work was worse than my fellow mates.
1999,neutral, Now . 
2000,joy, Were you ? your performance was excellent . 
2001,fear,After having slept for a short time I woke up - I had the feeling of someone standing beside me and was very frightened. I had to turn on the light turn on the light for several minutes before I was able to get to sleep again.
2002,joy, Sure . Now you are talking . 
2003,fear,A third group of backbenchers is concerned at cross-media ownership in the new channels under the bill . 
2004,sadness, I had a bad start of the day . I was stuck in a bad traffic jam on my way and I missed my morning meeting . 
2005,anger,"The king was furious at being tricked again , and by nothing more than a pair of animals , at that . "
2006,joy," Well , imagine that ! How old are you ? "
2007,sadness,For not having succeded in getting the job as a translator that I wanted.
2008,fear,Elaine 's voice was concerned but deep inside she hoped he would not decide to go to the party . 
2009,neutral, sounds like he is pretty cute . What do you think of him ? 
2010,anger,"Oh great ! This stupid computer froze again ! That's the third time today ! Hey Samuel , can you come take a look at my PC ? It's acting again . It must have a virus or something . "
2011,anger, Trust you ! You can't even handle simple plane reservations ! 
2012,joy,I was filled with joy when I heard that I had been selected to come here at Kamuzu College of Nursing.
2013,neutral, I'm sorry . 
2014,neutral, So what ? 
2015,fear,When I woke up at night to find a fire spreading towards the bed -rooms.  I was very frightened as I realized that I faced death.
2016,joy,It was the weekend of my homecoming. I saw my sister for the first time in 3 months. She's my best friend and extremely close.
2017,neutral," Yeah , yeah , but today ’ s lesson was all about the creation of the universe . "
2018,neutral," well , we'll be careful . Thanks for letting me know . "
2019,fear,The fear of being hurt in a relationship usually causes you to stay single or fear getting attached to a person.  
2020,fear, It must be a haunted house.Are you frightened ? 
2021,anger,"When my aunt scolded me for something I was not responsible for.  A boy had come to our gate asking for me, my aunt went out to see him.  I had neither met nor known the boy."
2022,fear,"Doris , I'm glad you're home . I'm terrified . I don't know what to do ! "
2023,anger,"He made a good living , and seemed resentful of his wife 's decision to take in a lodger . "
2024,sadness,When a close friend drowned in the American River.
2025,sadness,Disappointed love. The girl made an end to our relationship while I thought she was in love with me.
2026,neutral," Don ’ t worry , I can handle that . And I know if the boss is there , even it is an informal evening , it does not make a good impression to get totally drunk in front of him . "
2027,anger, Yes . But why do I have to fill out a form anyway ? This is the emergency room . 
2028,joy,One of the greatest joiy was when I succeded in acquiring a motorcycle through my own efforts.
2029,sadness,"Sometimes, when I'm alone I am seized by this feeling. But it always helps me to come round and at the same time to judge if it is worth. Very often this feeling is caused to me by people - friends who I love and respect."
2030,neutral, Yes . 
2031,joy,Returning to school and rejoining my girlfriend after 3 months of separation from summer.
2032,sadness,When my first girlfriend an I left each other.
2033,sadness,Kurzlinger hated Voss for what he had done and the man 's grief for his murdered love was not to be underestimated . 
2034,sadness," Well , I'm leaving Japan and I'm going back to London , tomorrow . "
2035,fear,@johnnorlin  tells us that we've sacrificed more than others. tells us it's time 2 worry about the future. &#xA;&#xA;Luke 9:3
2036,anger, They soud like the neighbours from hell ! 
2037,anger,An exasperated Galileo was able to show up the inadequacy of his rival 's position in a characteristically witty way . 
2038,fear,"His horrified mother made a public appeal for the return of the ring , given to her by husband Alfed 18-years ago . "
2039,anger," Oh , you men ! You're all the same . "
2040,neutral, Winning is a piece of cake to me . 
2041,joy,"Mr Mitterrand appears so delighted with the ultra courteous Edouard Balladur , that some Socialists wonder whether he has at last found the prime minister of his dreams . "
2042,fear,"I lived in a flat with a couple. The woman was so jealous of me, that she sometimes had crying fits. Eventually her husband could not stand that any more and wanted to kill me."
2043,sadness,My uncle died in the Vietnam War.
2044,fear, I'm afraid you are beginning to look a little overweight . You really need to stop smoking . That's the main reason you're unhealthy . 
2045,anger,When people without my permission pry in my belongings and take things out of it.
2046,neutral, In Boston . 
2047,joy,When a cousin of mine was discharged from the hospital after       a long illness.  I had thought that this illness would never end.
2048,anger,When I had an argument with my best friend and I thought that I was right and she was not.
2049,sadness,When I had to come back from my village last Christmas.
2050,joy, I ’ m sure I ’ ll like it here . 
2051,anger,He looked at her with exasperation when she just gazed at him with wide deep blue eyes . 
2052,sadness,When a colleague failed to contact me at the arranged time.
2053,anger,"At a school dance when my supposed \best friend\"" kept walking away from me whenever I came near her."""
2054,joy,"Isn't this lovely weather ? Will you help me water the flowers , Jack ? "
2055,sadness," I've finished the first draft , but the professor said it's poorly written . I have to rewrite it . it's so depressing . "
2056,anger, I am really looking forward to getting away from you . Far away from you ! 
2057,fear,"I was travelling back home by boat with two friends of mine after a lovely holiday trip.  The night and the sea were dark, and the wind was blowing.  I feared that death was there on the boat, I somehow felt sure about it.  I feared being left alone."
2058,joy,"The day I got to know that I would get a shared dwelling with my boyfriend.  My parents place was getting a little crowded with my growing bother wanting a room to himself.  I first felt doubt, then joy, but also sadness.  The feeling of joy was the strongest."
2059,neutral, Do people get married young ? 
2060,neutral," Oh I remember , I cut terrible calls , and you didn't say anything about it . "
2061,fear,When I failed my first exam at the Higher Institute.
2062,sadness,"He was a plodding lugubrious fellow , and we were delighted with his Wodehousian name . "
2063,anger,"Ok , let ’ s go through this one more time . I don ’ t want anymore ruined or dyed blouses ! "
2064,neutral, What happened ? Quarrel again ? 
2065,neutral," Hi , Jim . "
2066,neutral,"Do you speak only English in the class , or does your teacher explain everything to you in Spanish ? "
2067,sadness," Oh , sorry to interrupt you . But I am calling to say goodbye to you . I am awfully sorry to tell you that I am afraid I could not see you off at the airport tomorrow , because I will have to attend a very important meeting . "
2068,fear,The possibility of having failed the examination.
2069,fear,"I am a \cantor\"" - I sing psalms in church. Several weeks ago I had to sing too, but the organist did not tell me in time. As I did not know the psalm, I was afraid and said that I could not sing."""
2070,sadness,When on Christmas day my grandmother died. I received the news when I was coming back from a party on the 24th at 5 am.
2071,sadness,When I found out that I could not go to the concert (after buying the tickets) because of a biology test which occurred the morning after.
2072,anger,What a terrible house ! 
2073,joy,Getting into this university.
2074,fear, Too bad . I really like it . 
2075,fear,Ok now im scared. . . Im the only one up in my house. . . I guess im going to sleep. . 
2076,neutral,Who's that ? 
2077,joy,"When I got 21/30 points in an exam of statistics. The result was unexpected and it made me realize that statistics do not surpass my abilities, as I have sometimes thought."
2078,fear,When my relatives and I were in a car going slowly on a frozen road.
2079,joy,"When I received the result slip of the higher level examination (an university entrance exam) and saw that I had a very good possibility of being accepted into the university, I felt very excited."
2080,joy,"I was going to my village, after having been rather oppressed in Madrid. "
2081,neutral," I had mine when I was 24 . that ’ s a little young . I ’ d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career . "
2082,neutral, Sure . 
2083,anger,The outrageous conduct of a relative towards me and those close to me.(blaming us and lying)
2084,neutral," I also feel that work efficiency here is very high . and you have strong working ability and professional skill , it seems that you know all , that's really wonderful ! "
2085,neutral,How are you ? 
2086,joy,"I was \best man\"" at my brother's wedding a year ago."""
2087,fear,When I almost fell down from some rocks because I had been acting foolishly and playing dangerously.
2088,joy,Minton 's sober and workmanlike drawings instance his delight in registering rhythmic activity and industrial shapes . 
2089,joy, How about a party at home ? That way we can get together and celebrate it . 
2090,neutral, Yes . 
2091,sadness,When another person's mother died.
2092,anger,"I live by myself and a few weeks ago was woke by a man on the end of my bed coming up my bed at me. I was really angry, told him to get out. He was surprised, hesitated; I started to move towards him and he backed off - kept telling him - loudly, but firmly to go. Because I'd got the initiative, I succeeded. A very powerful message."
2093,fear,Got ill.
2094,neutral," Yes , I do . "
2095,neutral, OK . 
2096,sadness,Death of a pet rabbit. We had to give it away because my brother became allergic to it. We gave it to a man who kept animals and lots of other animals for children to watch. We went to visit our rabbit. It was badly beaten by the other rabbits and eventually died.
2097,joy, Of course . But I'm afraid I'm not much of a dancer ... 
2098,sadness,I did not like it when a little girl was crying for her dead mother and was calling her by her name.  I was sad.
2099,joy,"As the programme of meetings rolled on , sometimes with many presentations on the same day , Horsley was exhilarated , amazed and excited . "
2100,neutral, Yes ? 
2101,sadness," I'm sorry , I didn't know that . But I wanna help . "
2102,neutral, Or getting stuck in traffic jams when you ’ re driving . 
2103,neutral, Me ! Me ! 
2104,joy,"Receiving a very personal letter from a lady that I like, which revealed that she was more enthusiastic about me than I had thought possible."
2105,joy,Some time ago a close relative of mine got off cheap with the worst.
2106,fear,"Once I was very frightened at night as I had a very fearful and terrifying dream, I could not go back to sleep for a long time."
2107,neutral," Yes , sir . "
2108,anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had."
2109,joy,"After I had had a disappointment in my private life, my friend, who studies in Vienna, came to see me spontaneously."
2110,fear," But , dad , it's stormy outside . "
2111,neutral, Snipers ? 
2112,fear," Oh , that scared me . "
2113,sadness,"When a close friend took leave of me, because she went to Israel for one year."
2114,fear,"Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group.  We read the names and then each group went its own way to a seminar room.  I wondered how I would cope with the new situation and if I would succeed as a group leader."
2115,sadness,"The fact that my mother is getting married again (my mother and father divorced about 15 years ago) means that she will probably move to Turku, and our home, which is a one family house, will be sold (I myself have not been living at home for the past six years)."
2116,neutral, It's not just that . She also criticizes how we raise the kids . 
2117,fear,"Walking around the University at night by myself, having been previously warned of rapes, etc."
2118,anger,The infuriated Milan Cardinal told the city governor that both the Chief of Police and the governor would be excommunicated if Landriani was not immediately released back to the convent . 
2119,fear,"I stayed alone in the dark at night in the mountain, waiting for my uncle.  I remember that I took a big stone and it calmed me."
2120,joy,We are very happy that the Volkswagen Tour has enabled us to welcome this renowned orchestra to the Festival for the first time . 
2121,joy, Always . 
2122,neutral, Right . 
2123,sadness,When I was in lower six class during the Summer I joined a research group of the Chinese university student union.  I knew a lot of CV students there.  A year later one of them was travelling in mainland China and he got T.B.  He died a few weeks after coming back to H.K.  We all got together for the funeral and when I looked at the body for the last time I felt extremely sad.
2124,sadness," Yes , maybe . But I like street shopping . There is more variety . I'm sorry . I just don't like malls . "
2125,neutral, Mrs . Thou ? 
2126,fear,I had gone for a medical check-up at the U.T.H and failed to make it back on time for the C119 practical sessions at 1400 hours last academic year.
2127,neutral, How often ? 
2128,fear,"Rose was excessively clinging in her behaviour and anxious when Clive was either late , as he often was , or away on an extended business trip . "
2129,anger,"When my father made my mother go through really terrible situations, I felt furious, impotent, nervous, upset, ........"
2130,neutral, I see . 
2131,anger,"Uncleaniness at my work place.  The place is generally not very clean, but when it reaches a point, I get angry at the person who is supposed to clean the place and the people who are supposed to supervise him."
2132,fear,I was on this amusement park ride at Marriots Great America. It went way up in the air and then around and around. Heights are not my favorite spots in life.
2133,anger, How dare you question my statement ! 
2134,anger," Well , he made quite a few mistakes on the monthly report and when his supervisor found them , my manager blamed them on me ! "
2135,joy,When I found out that I had passed the last two exams by a margin of three marks.
2136,sadness, No can do ... sorry . 
2137,fear,"At the dentist's, waiting for my turn to come."
2138,neutral, Really . 
2139,neutral,"What do you do in your free time , Nancy ? "
2140,fear,"wat du i fink about success? It sucks, its much stress...i guess i blew up quick....success.....JAY Z"
2141,anger," I wanted to , but I knew that if I spoke to her , I'd just blow up at her , so I decided to just go home . I called her later that the night , but she didn't answer the phone . "
2142,anger,Jean-Paul gave a sigh of exasperation . 
2143,anger," No , you haven ’ t . You just don ’ t care about me . You ’ re an indifferent husband . "
2144,joy,When my friend told me that he would come and meet me in a moment.
2145,sadness,Death of my grandmother.
2146,joy, Check out your mom's closet . I'll bet she still has something . 
2147,neutral," If I were Li Na , I would ask her if she had done that . "
2148,neutral, Haven't you heard that he is in prison ? 
2149,joy,When I realized that I loved someone of the opposite sex.
2150,neutral," At the beginning , it does not matter , but once someone gets one ball in , it is set . "
2151,anger,"This time , with deepening anger on the streets over price liberalisation , the hardliners were not to forgo their chance . "
2152,joy,"When I got a stereo walkman from my father when he had finacial difficulties. I thought that although he promised to give me that present, he was not obliged to do so."
2153,sadness,When my grandmother died of cancer.
2154,fear,"When I was 20 years old, I fell severely ill and was bed-ridden for 6 months.  I felt very scared for my health and my studies."
2155,sadness,When we were on holidays my girl-friend had to leave me after 4 weeks and I had to stay in Turkey for some more weeks because I had a job there.
2156,fear,"Walking back from the gas station me, @Brooklyns_MoKo, and Faisal saw a dog without a leash and freaked the hell out "
2157,anger,How dare you accuse me of stealing your computer ? 
2158,joy,What a great weekend that was ! 
2159,anger,"Without my permission, my son had made popcorn after coming back from school.  The consequences were a spoilt kettle and chaos in the kitchen but what could have happened with the hot grease ?"
2160,sadness,"As he was rushed to hospital , his devastated daughter Suzanne went ahead with the service -- not knowing if he would live or die . "
2161,joy," Pretty good , thanks . I'm going to see my uncle . "
2162,anger,I was very angry at my father when he didn't give me as much money as my brother to use for studying. Once again my brother was better off then me.
2163,anger,"It was quite recently, at the football match between the national teams of Bulgaria and France. I felt strong anger with the Scottish referee who ran the match quite partially."
2164,joy,"When I achieved my first 6 at University after a long string of 3's, 4's and 5's (7 is the highest mark awarded, 3 is a conceded pass)."
2165,anger,"The Direktor felt , not for the first time , deeply resentful of the fact that they had any part in choosing the programme . "
2166,fear,"For all those years you've protected the seed, it's time to become the beautiful flower.~S.C. Paul   "
2167,neutral, I'm very sorry I can't . 
2168,fear,I was bitten by a dog.
2169,fear,"Twitter, you'll never see me run as fast again as I am from @BibiLynch right now. "
2170,anger,When the university withdrew the accomodation that it had given me.
2171,anger,It was necessary to organise a competition in connection with a celebration. Everyone was to be present at that event. It turned out that there was no audience at all because everyone had pretended to be very intelligent and no one had come. I got furious.
2172,joy,"The final marks were to be given in the morning.  I wanted to get there late because I was very afraid.  When I arrived there, everybody was very happy and I had also passed.  We had a wonderful time all day long."
2173,anger, That's not nice . 
2174,anger, It costs more than you think to run a car---especially when there are so many things wrong with it ! 
2175,joy,"Hi , Monica , congratulations ! Your presentation at the meeting was very successful and everyone was impressed by your speech . And it was so persuasive and I bet our clients will be convinced to invest their money in this project . You really made a big contribution to our company . "
2176,joy,"I remember my religious experience.  During  a gospel camp, a few friends of mine decided to believe in God.  The joy that I felt at that time was more than words can express.  I blessed them and praised God in my heart."
2177,neutral,"Hey , Mary , what's up ? "
2178,joy,Getting into this university to do medicine.
2179,neutral,Here's the restaurant we're meeting the Smiths at . 
2180,joy,"A surge of elation rushed through his body as he read the note for the third time , unable to believe the implications of what he was reading . "
2181,fear,"When I asked if they could make me an identical one trimmed with black fur and beading instead , they were horrified but they agreed in the end . "" "
2182,anger, I've been with this firm for 26 years and I'd hate to see it go down the drain due to poor leadership skills . 
2183,anger,"` No , better to limit the damage , control his anger , make nothing of it , pretend he didn't mind . "
2184,sadness,To fight with a sister and to know that she doesn't care.
2185,joy,"I was joyful when I received a present (2 books and a pencil) from the headmaster in standard 6 because I had passed, I became No 1 and he said I was one of the pupils who had good behaviour."
2186,anger," Yes , but you might have told me before . "
2187,sadness,"In their communiqu , the finance ministers could usefully point out that the current despair  over eastern Germany is overdone . "
2188,fear,When I was 12 years old I frequently was pursued by others and got sound thrashes.
2189,anger,"We hitch hiked our way back from a town rather drunk.  We were dropped in another town which was unknown to us.  I needed to urinate, so I did it on a wall which turned out to belong to the military headquarters.  They arrested me and made me pay a fine of 500 pts.  We had to go home on foot (6 km) since it was too late for anyone to give us a lift."
2190,anger,I was angry at a University tutorial when an ignorant loudmouth persisted in trying to dominate the conversation.
2191,sadness,"At first I could not understand -- but then when she had , whispering , explained properly , I was filled with a desolate , despairing horror . "
2192,neutral, August 1st . 
2193,sadness,It was the kind of life that ` was making life miserable in the extreme for her and since I felt responsible for her it was making me miserable too . 
2194,neutral, OK . 
2195,anger,"One day my elder brother badly scolded my father.  This was the first time that I heard such abusive language from my brother.  I requested him humbly not to use this kind of language but he did not care for what I was saying.  Finally I picked up an axe to use against him, in the meanwhile people intervened."
2196,joy, Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call . 
2197,sadness, But it still hurts . I thought I loved him . 
2198,anger,"The comrade staying next doors insulted me for what he called  the misuse of his iron.  He called me stupid, self centered etc.  I wanted to punch him but instead went for a walk to the mining school to cool off."
2199,joy, You too.Thanks for dropping in . 
2200,joy," OK , how about 12:30 PM ? "
2201,sadness,My boyfriend decided to make an end to our relationship.
2202,anger,One of my first boyfriends got mad at me because a lot of my close friends were guys and he didn't want me to see them anymore because he was jealous.
2203,sadness,When a pet died. The pet was the closest friend I had for 15 years.
2204,sadness,"I was on my way back from the Inter Rail, on board the ferry from Stockholm when my father called me at 7 o'clock to tell me that my uncle had died and that I would be seeing him off on his final journey within four days."
2205,anger,Erika stamped her foot in vexation . 
2206,joy,When I got married.
2207,neutral, Sure . 
2208,sadness, We got lost coming back . I guess I don't really know this town yet . 
2209,neutral, Tarzan . 
2210,fear,When the doctor told me that there was something wrong with my eye and I had to undergo an operation.
2211,fear,Every time I see a spider or a snake.
2212,anger,"A certain man went to my parents and told them that I was married here, when I am here at school. When I went home for holidays my parents asked me about it and I was angry with that man."
2213,joy,"On a sailing boat at night, under a full moon, listening to Pink Floyd, drinking good wine, with good company, the boat being steered by autopilot, and a full eclipse of the moon."
2214,anger,A nuisance used to live in our flat a month ago. I experienced this feeling when I tried to chase her out.
2215,neutral, When will the lecture begin ? 
2216,fear,She voiced her disquiet and Ana laughed . 
2217,fear,After a short stay in Marocco we missed the ferry-boat back to Spain and we had to look for an accomodation. By chance we met a man who offered to take us to a camping site. While I was sitting in his car I was terribly afraid because I had heard of people being robbed in Marocco.
2218,joy,Lesley was totally happy about it . 
2219,sadness,When I got divorced from my husband after ten years of marriage.
2220,sadness,When my mother was operated.
2221,sadness,Death of the family dog.
2222,sadness,"I was at home alone when I realized that a young roe approached our house. I hid because I did not want to frighten it. It limped. Some time later, when I thought that it had already run away, I saw it lying on our terrace. I came nearer and saw that it was terribly wounded. I informed the ranger who said that the roe must have been attacked by dogs. He had to shoot it."
2223,joy,When I passed the first year and so I could come back for my second year.
2224,sadness,"Very likely he was simply lying on his bed in a state of dejection and , perhaps , of remorse for his massacre of "" the possessions "" which was now generally thought not to have been necessary . "
2225,anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me.
2226,sadness, We're sorry you have to leave . 
2227,neutral, Mr . : Yes ? 
2228,neutral, Why not ? 
2229,joy,When I spoke to my daughter and wished her luck for the examinations she was about to take.
2230,anger, I don't care . 
2231,joy, What is the weather like in Washington at this time of this year ? 
2232,anger,She didn't look quite so indignant as she 'd looked before . 
2233,sadness," Okay , I'll be right back ... Congratulations ! The manager approved the final price $ 15,000 . "
2234,fear,The priest became agitated . 
2235,fear,"@notMarcStaal I'd offer to do a strip tease, but my wife is currently hormonal and might kill me. "
2236,sadness,Insulted by my mother.
2237,joy, So Barb ... what do you do ? 
2238,fear,An agitated old lady addressed Ramsey severely and asked why he did not go back to his own country and do good there instead of stirring up trouble in the United States . 
2239,joy,When I succeed in writing something I felt and doing it I felt well and very happy for being able to express to myself something that was suffocating me.
2240,anger, Are you kidding me ? 
2241,neutral, Critics are not very happy with the movies that you ’ Ve made recently . Does that bother you ? 
2242,joy,"The sense of joy comes to me always after a period of depression, as an organic feeling for an upsurge. I don't exclude the situative feeling but in this case the reason is not in me, it's out of me."
2243,joy, That makes sense . I think I'll do that . Thanks for all the help . 
2244,sadness,It happened that I was alone - with no contacts with friends.
2245,sadness,Not being chosen for the English lectures (my girl-friend chosen).
2246,anger,When my partner was attacked and lost three teeth.
2247,joy,Her face lit up with a delighted smile as she gazed at an abandoned plate of half-eaten sandwiches on a nearby table . 
2248,fear,When my son has a pain in his leg (for no apparent reason).  
2249,fear,When I was going to bring back my girlfriend to LA to meet my parents.
2250,neutral, Thanks . 
2251,fear,After having taken an exam i feared having failed it.
2252,joy,I went to a doctor with a complaint. The doctor told me that I was completely healthy.
2253,joy,"Nevertheless , no writer , however self-sufficient , writes without a thought of an audience , and Tolkien was happy to discover anyone who could appreciate what he was up to . "
2254,anger, I've already suffered enough without listening anymore to you ! 
2255,neutral," Having a regular study routine and following it is very important , right ? "
2256,sadness,"I felt very sad when I had to give up something that by right was mine and although I didn't get it, a kind of souvenir that people don't give you the right to have."
2257,sadness," I'm sorry sir , this flight has been cancelled due to some mechanical problems . "
2258,joy,"I have been sent a Leeds United 1993-94 squad picture from the Evening Post and this now adorns my office wall , much to the amusement of my colleagues . "
2259,fear,Kendall-Hume turned back to face the dismayed couple . 
2260,neutral, I would very much enjoy taking a Psychology class.Because I'm crazy . 
2261,joy," And I was overwhelmed by this scene , too . "
2262,neutral, April fool ! 
2263,sadness,"The happy melody of Morning has Broken followed , but the sadness of family and friends choked many of the words . "
2264,neutral, What place ? 
2265,anger,"Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know.  They had despised her conviction, scorned and touched her.  I got very angry and did not try to conceal it and gave it back to them."
2266,sadness,My friend still trusts me as a friend.
2267,fear,"After going through a glass door, I sustained a number of serious cuts which were gaping open."
2268,neutral,Hi . 
2269,joy,When some friends of mine asked me to go camping with them for a fortnight.
2270,sadness,When I am with a friend and we have to leave each other.
2271,joy,Ellen gave me an amused glance . 
2272,fear,@myfoxla you are reporting on the basis of please stop trying to place #fear into viewers. It's uncool. #occupyla #ows
2273,anger,I was angry this morning when I missed the train to university.
2274,sadness,"I love her so much , you know . I want to be alone . Please keep quiet . "
2275,joy, Where are you from ? 
2276,joy,I had a friend who I didn't see for a long time. We had a relationship from much union and interaction. It was more that one year that I didn't see her. She appeared in my home and we talked.
2277,anger,You ’ re making my blood boil . 
2278,sadness," No , ma'am . I ’ m afraid you put in only one quarter and one dime . "
2279,neutral," Come on ! A little labor , much health . "
2280,neutral,The mosquitos are biting me ! 
2281,anger,"I've something very unpleasant to talk with you . Upon the arrival of the first consignment , it was found that about 50 % of the sixty cases of pineapples were leaking . "
2282,neutral, Oh ! ! My car isn't working . I'm waiting for a tow-truck . 
2283,joy,When Wayne and Sue (close friends) were announced our guardians at ther wedding.
2284,fear,Strictly avoid frightening ideas 
2285,sadness,"Hello , Kevin . I hate to do this , but I have to cancel our appointment . "
2286,sadness,"Katherine could feel his anguish , and for the second time that day the tears slid down her cheeks . "
2287,fear,"The fear about my future : work, making ends meet and health. Coping."
2288,anger,"I lent a text-book to a person I did not know very well, they lost the text-book and gave me no compensation."
2289,anger,"A drunken friend of mine was beating up another friend, who was also drunk."
2290,neutral, Yes . 
2291,neutral, Thanks . Lovely day . Pity I ’ m on duty . 
2292,anger,Finding an excuse is obviously down your alley . And trying to avoid taking care of the children is what you are good at . 
2293,sadness,When the girl I loved turned me down.
2294,neutral, I will . 
2295,anger,The patient whom I expected to get well suddenly passed away after he showed had his meals.
2296,neutral, You mean 30 push-ups ? 
2297,neutral, Thank you . 
2298,sadness, Poor old John ! I am ever so sorry . 
2299,joy,Passing a very difficult examination which I didn't expect - MCE.
2300,neutral, I think I've caught a cold . Now I'm aching all over . 
2301,fear,@pathien selon doctissimo le verdict est sans appel: cancer du cerveau !! 
2302,sadness,"My friend has to go on field trips, he just told me."
2303,anger,With self at losing an important game that I should have won.
2304,joy,We grew more and more excited . 
2305,sadness,YEOVIL TOWN captain Mark Shail was heartbroken last night over the rash moment which may cost him the chance of playing in the dream FA Cup tie against Arsenal . 
2306,fear,"Years ago, on my way to school by the forest path I came across an exhibitionist."
2307,neutral," Sometimes it takes too long to find the exact information you are looking for . Besides , I like to read a magazine in a coffee bar sometimes . "
2308,sadness, It must be dreadful to grow old . 
2309,sadness,When my girlfriend left me.
2310,neutral, About ten years so far . I started learning when I was in middle school . 
2311,anger, I don't want to argue anymore . Please get out of my life ! 
2312,sadness,I felt sad when I heard that my girlfriend was double-crossing me with the boy who is my best friend.
